Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-07,15:00 (16:00),League One,Matchweek 1,Sat,Home,D,1,1,Cheltenham,57,5301,Luke Murphy,4-3-3,Ben Toner,Match Report,
2021-08-10,19:00 (20:00),EFL Cup,First round,Tue,Away,W,1,0,Hartlepool Utd,35,3149,Luke Offord,4-3-3,Thomas Bramall,Match Report,
2021-08-14,15:00 (16:00),League One,Matchweek 2,Sat,Away,L,0,2,Portsmouth,40,11470,Luke Murphy,4-3-3,Will Finnie,Match Report,
2021-08-17,19:45 (20:45),League One,Matchweek 3,Tue,Away,L,0,1,Oxford United,51,6757,Luke Murphy,4-3-3,Robert Madley,Match Report,
2021-08-21,15:00 (16:00),League One,Matchweek 4,Sat,Home,L,0,1,Acc'ton Stanley,53,4187,Luke Murphy,4-3-3,Darren Drysdale,Match Report,
2021-08-24,19:45 (20:45),EFL Cup,Second round,Tue,Away,L,0,3,Leeds United,27,34154,Luke Murphy,4-3-3,Ben Speedie,Match Report,
2021-08-28,15:00 (16:00),League One,Matchweek 5,Sat,Away,L,0,2,Charlton Ath,49,13167,Luke Murphy,4-3-3,James Bell,Match Report,
2021-09-11,15:00 (16:00),League One,Matchweek 7,Sat,Away,D,1,1,Shrewsbury,56,5867,Luke Murphy,3-4-3,Samuel Barrott,Match Report,
2021-09-18,15:00 (16:00),League One,Matchweek 8,Sat,Home,W,2,0,Burton Albion,47,4482,Luke Murphy,4-3-3,Ross Joyce,Match Report,
2021-09-21,19:45 (20:45),League One,Matchweek 6,Tue,Home,L,1,3,Morecambe,63,3542,Donervon Daniels,4-3-3,Paul Howard,Match Report,
2021-09-25,15:00 (16:00),League One,Matchweek 9,Sat,Away,D,1,1,Rotherham Utd,49,8747,Luke Murphy,3-4-3,Samuel Allison,Match Report,
2021-09-28,19:45 (20:45),League One,Matchweek 10,Tue,Away,D,1,1,Plymouth Argyle,43,11138,Luke Murphy,5-4-1,Neil Hair,Match Report,
2021-10-02,15:00 (16:00),League One,Matchweek 11,Sat,Home,D,2,2,Cambridge Utd,50,4237,Luke Murphy,4-3-3,Tom Reeves,Match Report,
2021-10-16,15:00 (16:00),League One,Matchweek 13,Sat,Away,L,0,3,Fleetwood Town,47,2917,Luke Murphy,4-3-3,Marc Edwards,Match Report,
2021-10-19,19:45 (20:45),League One,Matchweek 14,Tue,Home,L,0,4,Sunderland,53,5618,Luke Murphy,3-5-2,Carl Boyeson,Match Report,
2021-10-23,15:00 (16:00),League One,Matchweek 15,Sat,Away,L,1,2,Wycombe,53,4813,Luke Murphy,5-3-2,Steve Martin,Match Report,
2021-10-30,15:00 (16:00),League One,Matchweek 16,Sat,Home,L,1,4,MK Dons,56,4512,Luke Murphy,4-3-3,Andy Haines,Match Report,
2021-11-02,19:45 (20:45),League One,Matchweek 12,Tue,Home,D,1,1,Doncaster,60,3392,Luke Murphy,4-3-3,Simon Mather,Match Report,
2021-11-06,15:00 (16:00),FA Cup,First round proper,Sat,Home,L,0,3,Swindon Town,41,2303,Luke Murphy,3-5-2,Trevor Kettle,Match Report,
2021-11-12,20:00 (21:00),League One,Matchweek 17,Fri,Away,L,0,2,Bolton,43,13804,Mikael Mandron,5-3-2,James Bell,Match Report,
2021-11-20,15:00 (16:00),League One,Matchweek 18,Sat,Home,W,2,0,Gillingham,61,4047,Luke Murphy,5-3-2,Anthony Backhouse,Match Report,
2021-11-23,19:45 (20:45),League One,Matchweek 19,Tue,Away,L,2,3,AFC Wimbledon,50,6943,Luke Murphy,5-3-2,Craig Hicks,Match Report,
