Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes,Club,Temperature,Wind,Win streak,Not lose streak,Last 5 games goals for,Last 5 games goals against
2021-08-07,15:00 (16:00),League One,Matchweek 1,Sat,Away,L,1,2,Sunderland,49,31549,Tendayi Darikwa,4-2-3-1,Robert Madley,Match Report,,Wigan Athletic,15.2,11.8,0,0,0,0
2021-08-10,19:45 (20:45),EFL Cup,First round,Tue,Away,D,1,1,Hull City,55,4139,Max Power,4-2-3-1,Martin Coy,Match Report,Wigan Athletic won on penalty kicks following normal time,Wigan Athletic,16.9,11.2,0,0,1,2
2021-08-14,15:00 (16:00),League One,Matchweek 2,Sat,Home,W,1,0,Rotherham Utd,61,10217,Tendayi Darikwa,4-2-3-1,Rob Lewis,Match Report,,Wigan Athletic,15.8,9.0,0,1,2,3
2021-08-17,19:45 (20:45),League One,Matchweek 3,Tue,Home,D,1,1,Wycombe,57,8671,Tendayi Darikwa,4-2-3-1,Anthony Backhouse,Match Report,,Wigan Athletic,15.3,16.5,1,2,3,3
2021-08-21,15:00 (16:00),League One,Matchweek 4,Sat,Away,W,2,0,Charlton Ath,54,13839,Tendayi Darikwa,4-2-3-1,Craig Hicks,Match Report,,Wigan Athletic,17.0,4.3,0,3,4,4
2021-08-24,19:45 (20:45),EFL Cup,Second round,Tue,Home,D,0,0,Bolton,52,11660,Tendayi Darikwa,4-2-3-1,Thomas Bramall,Match Report,Wigan Athletic won on penalty kicks following normal time,Wigan Athletic,17.4,6.3,1,4,6,4
2021-08-28,15:00 (16:00),League One,Matchweek 5,Sat,Home,W,1,0,Portsmouth,48,9571,Tendayi Darikwa,4-2-3-1,Chris Sarginson,Match Report,,Wigan Athletic,15.4,6.5,0,5,5,2
2021-09-11,15:00 (16:00),League One,Matchweek 7,Sat,Home,W,2,1,Doncaster,63,8975,Tendayi Darikwa,4-2-3-1,Tom Nield,Match Report,,Wigan Athletic,17.3,11.9,1,6,5,1
2021-09-18,15:00 (16:00),League One,Matchweek 8,Sat,Away,W,4,1,Acc'ton Stanley,46,4517,Tendayi Darikwa,4-2-3-1,Andy Haines,Match Report,,Wigan Athletic,17.9,5.1,2,7,6,2
2021-09-21,19:45 (20:45),EFL Cup,Third round,Tue,Home,L,0,2,Sunderland,38,6511,Gavin Massey,4-2-3-1,Leigh Doughty,Match Report,,Wigan Athletic,14.9,6.7,3,8,9,2
2021-09-25,15:00 (16:00),League One,Matchweek 9,Sat,Home,W,2,0,Cheltenham,54,8867,Tendayi Darikwa,4-2-3-1,Joshua Smith,Match Report,,Wigan Athletic,18.3,4.9,0,0,7,4
2021-09-28,19:45 (20:45),League One,Matchweek 10,Tue,Home,L,1,2,Sheffield Weds,64,11884,Tendayi Darikwa,4-2-3-1,Samuel Barrott,Match Report,,Wigan Athletic,11.6,9.5,1,1,9,4
2021-10-02,15:00 (16:00),League One,Matchweek 11,Sat,Away,W,2,0,Gillingham,67,4503,Tendayi Darikwa,4-2-3-1,Neil Hair,Match Report,,Wigan Athletic,10.5,9.5,0,0,9,6
2021-10-16,15:00 (16:00),League One,Matchweek 13,Sat,Away,W,4,0,Bolton,40,20892,Tendayi Darikwa,4-2-3-1,Charles Breakspear,Match Report,,Wigan Athletic,10.6,5.1,1,1,9,5
2021-10-19,19:45 (20:45),League One,Matchweek 14,Tue,Home,L,1,2,MK Dons,57,8351,Tendayi Darikwa,4-2-3-1,Darren Drysdale,Match Report,,Wigan Athletic,16.9,12.2,2,2,9,4
2021-10-23,15:00 (16:00),League One,Matchweek 15,Sat,Away,W,2,0,AFC Wimbledon,57,7979,Tendayi Darikwa,4-2-3-1,Oliver Yates,Match Report,,Wigan Athletic,10.7,9.5,0,0,10,4
2021-10-26,19:45 (20:45),League One,Matchweek 12,Tue,Home,L,1,2,Lincoln City,61,8707,Tendayi Darikwa,4-2-3-1,Seb Stockbridge,Match Report,,Wigan Athletic,12.7,12.1,1,1,10,4
2021-10-30,15:00 (16:00),League One,Matchweek 16,Sat,Home,W,2,0,Burton Albion,72,9020,Tendayi Darikwa,3-5-2,Carl Brook,Match Report,,Wigan Athletic,10.6,11.6,0,0,10,4
2021-11-02,19:45 (20:45),League One,Matchweek 6,Tue,Away,W,3,2,Fleetwood Town,63,3246,Tendayi Darikwa,3-5-2,Ross Joyce,Match Report,,Wigan Athletic,7.3,7.2,1,1,10,4
2021-11-06,15:00 (16:00),FA Cup,First round proper,Sat,Home,D,0,0,Solihull Moors,57,2843,Tendayi Darikwa,4-2-3-1,Daniel Middleton,Match Report,,Wigan Athletic,11.2,16.4,2,2,9,6
2021-11-16,19:45 (20:45),FA Cup,First round proper,Tue,Away,W,2,1,Solihull Moors,66,3703,Tendayi Darikwa,4-2-3-1,Charles Breakspear,Match Report,Required Extra Time,Wigan Athletic,10.3,7.1,0,3,8,4
