Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-07,15:00 (16:00),League One,Matchweek 1,Sat,Away,W,1,0,Shrewsbury,37,5903,John Brayford,4-2-3-1,Anthony Backhouse,Match Report,
2021-08-11,19:45 (20:45),EFL Cup,First round,Wed,Home,D,1 (2),1 (4),Oxford United,41,1868,John Brayford,4-2-3-1,Seb Stockbridge,Match Report,Oxford United won on penalty kicks following normal time
2021-08-14,15:00 (16:00),League One,Matchweek 2,Sat,Home,W,2,1,Ipswich Town,35,3766,John Brayford,4-2-3-1,Sam Purkiss,Match Report,
2021-08-17,19:45 (20:45),League One,Matchweek 3,Tue,Home,W,1,0,Sunderland,40,4239,John Brayford,4-2-3-1,Declan Bourne,Match Report,
2021-08-21,15:00 (16:00),League One,Matchweek 4,Sat,Away,L,0,3,Cambridge Utd,49,4468,John Brayford,4-2-3-1,Ben Toner,Match Report,
2021-08-27,19:45 (20:45),League One,Matchweek 5,Fri,Home,D,1,1,Cheltenham,56,2909,John Brayford,4-2-3-1,Scott Oldham,Match Report,
2021-09-06,20:00 (21:00),League One,Matchweek 6,Mon,Away,D,0,0,Bolton,26,13305,John Brayford,4-2-3-1,Joshua Smith,Match Report,
2021-09-11,15:00 (16:00),League One,Matchweek 7,Sat,Home,D,1,1,Gillingham,55,2555,Michael Bostwick,4-2-3-1,Carl Boyeson,Match Report,
2021-09-18,15:00 (16:00),League One,Matchweek 8,Sat,Away,L,0,2,Crewe Alexandra,53,4482,John Brayford,4-2-3-1,Ross Joyce,Match Report,
2021-09-25,15:00 (16:00),League One,Matchweek 9,Sat,Home,L,1,2,Lincoln City,54,3359,John Brayford,4-2-3-1,Craig Hicks,Match Report,
2021-09-28,19:45 (20:45),League One,Matchweek 10,Tue,Home,W,2,1,Portsmouth,32,2810,John Brayford,4-2-3-1,Tom Nield,Match Report,
2021-10-02,15:00 (16:00),League One,Matchweek 11,Sat,Away,D,1,1,AFC Wimbledon,41,7413,John Brayford,4-2-3-1,Lee Swabey,Match Report,
2021-10-09,15:00 (16:00),League One,Matchweek 12,Sat,Away,L,1,2,Plymouth Argyle,41,11915,Deji Oshilaja,4-2-3-1,Anthony Coggins,Match Report,
2021-10-15,19:45 (20:45),League One,Matchweek 13,Fri,Home,W,3,2,Morecambe,42,2477,Deji Oshilaja,4-2-3-1,Martin Coy,Match Report,
2021-10-19,19:45 (20:45),League One,Matchweek 14,Tue,Away,W,1,0,Fleetwood Town,37,2226,Deji Oshilaja,3-4-1-2,Simon Mather,Match Report,
2021-10-23,15:00 (16:00),League One,Matchweek 15,Sat,Home,L,1,3,Oxford United,40,3391,Deji Oshilaja,3-4-1-2,Samuel Barrott,Match Report,
2021-10-30,15:00 (16:00),League One,Matchweek 16,Sat,Away,L,0,2,Wigan Athletic,28,9020,Deji Oshilaja,3-5-2,Carl Brook,Match Report,
2021-11-06,15:00 (16:00),FA Cup,First round proper,Sat,Away,W,2,1,Fleetwood Town,41,1362,Deji Oshilaja,3-4-1-2,Tom Reeves,Match Report,
2021-11-13,15:00 (16:00),League One,Matchweek 17,Sat,Home,L,0,1,Charlton Ath,56,3555,Deji Oshilaja,3-4-1-2,Trevor Kettle,Match Report,
2021-11-20,15:00 (16:00),League One,Matchweek 18,Sat,Away,L,0,1,MK Dons,55,9770,Michael Bostwick,3-4-1-2,Neil Hair,Match Report,
2021-11-23,19:45 (20:45),League One,Matchweek 19,Tue,Home,W,4,0,Acc'ton Stanley,59,1946,Ben Garratt,3-4-3,Darren Drysdale,Match Report,
2021-11-27,15:00 (16:00),League One,Matchweek 20,Sat,Home,W,2,0,Doncaster,60,2954,Ben Garratt,3-4-3,Peter Wright,Match Report,
2021-12-04,15:00 (16:00),FA Cup,Second round proper,Sat,Home,L,1,2,Port Vale,54,3539,Ben Garratt,3-4-3,Martin Coy,Match Report,
2021-12-07,19:45 (20:45),League One,Matchweek 21,Tue,Away,L,1,2,Wycombe,50,3602,Ben Garratt,3-4-3,Joshua Smith,Match Report,
2021-12-11,15:00 (16:00),League One,Matchweek 22,Sat,Away,L,1,3,Rotherham Utd,52,9007,Ben Garratt,3-4-3,Samuel Allison,Match Report,
2022-01-01,15:00 (16:00),League One,Matchweek 26,Sat,Home,W,4,1,Crewe Alexandra,37,3119,John Brayford,3-4-3,Peter Wright,Match Report,
2022-01-08,15:00 (16:00),League One,Matchweek 27,Sat,Away,D,1,1,Cheltenham,49,3201,John Brayford,3-4-3,David Rock,Match Report,
2022-01-15,15:00 (16:00),League One,Matchweek 28,Sat,Away,W,3,1,Gillingham,48,4198,John Brayford,3-4-1-2,Thomas Bramall,Match Report,
2022-01-22,15:00 (16:00),League One,Matchweek 29,Sat,Home,D,1,1,AFC Wimbledon,61,2768,John Brayford,3-4-1-2,Andrew Kitchen,Match Report,
2022-01-25,19:45 (20:45),League One,Matchweek 23,Tue,Home,L,0,1,MK Dons,35,2171,John Brayford,3-4-1-2,Darren Handley,Match Report,
2022-01-29,15:00 (16:00),League One,Matchweek 30,Sat,Away,W,2,1,Lincoln City,40,9159,John Brayford,3-4-1-2,Charles Breakspear,Match Report,
2022-02-05,15:00 (16:00),League One,Matchweek 31,Sat,Home,L,0,2,Sheffield Weds,50,4763,John Brayford,3-4-3,Alan Young,Match Report,
2022-02-08,19:45 (20:45),League One,Matchweek 32,Tue,Away,L,1,2,Portsmouth,52,13407,Michael Mancienne,3-4-3,Craig Hicks,Match Report,
2022-02-12,15:00 (16:00),League One,Matchweek 33,Sat,Home,D,2,2,Cambridge Utd,50,2578,John Brayford,3-4-1-2,Marc Edwards,Match Report,
2022-02-15,19:45 (20:45),League One,Matchweek 25,Tue,Home,W,3,1,Bolton,40,3487,John Brayford,3-4-1-2,Scott Oldham,Match Report,
2022-02-19,15:00 (16:00),League One,Matchweek 34,Sat,Away,L,0,3,Ipswich Town,43,20516,John Brayford,3-4-1-2,Carl Brook,Match Report,
