Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-07,15:00 (16:00),League One,Matchweek 1,Sat,Away,L,1,2,Sunderland,49,31549,Tendayi Darikwa,4-2-3-1,Robert Madley,Match Report,
2021-08-10,19:45 (20:45),EFL Cup,First round,Tue,Away,D,1 (8),1 (7),Hull City,55,4139,Max Power,4-2-3-1,Martin Coy,Match Report,Wigan Athletic won on penalty kicks following normal time
2021-08-14,15:00 (16:00),League One,Matchweek 2,Sat,Home,W,1,0,Rotherham Utd,61,10217,Tendayi Darikwa,4-2-3-1,Rob Lewis,Match Report,
2021-08-17,19:45 (20:45),League One,Matchweek 3,Tue,Home,D,1,1,Wycombe,57,8671,Tendayi Darikwa,4-2-3-1,Anthony Backhouse,Match Report,
2021-08-21,15:00 (16:00),League One,Matchweek 4,Sat,Away,W,2,0,Charlton Ath,54,13839,Tendayi Darikwa,4-2-3-1,Craig Hicks,Match Report,
2021-08-24,19:45 (20:45),EFL Cup,Second round,Tue,Home,D,0 (5),0 (4),Bolton,52,11660,Tendayi Darikwa,4-2-3-1,Thomas Bramall,Match Report,Wigan Athletic won on penalty kicks following normal time
2021-08-28,15:00 (16:00),League One,Matchweek 5,Sat,Home,W,1,0,Portsmouth,48,9571,Tendayi Darikwa,4-2-3-1,Chris Sarginson,Match Report,
2021-09-11,15:00 (16:00),League One,Matchweek 7,Sat,Home,W,2,1,Doncaster,63,8975,Tendayi Darikwa,4-2-3-1,Tom Nield,Match Report,
2021-09-18,15:00 (16:00),League One,Matchweek 8,Sat,Away,W,4,1,Acc'ton Stanley,46,4517,Tendayi Darikwa,4-2-3-1,Andy Haines,Match Report,
2021-09-21,19:45 (20:45),EFL Cup,Third round,Tue,Home,L,0,2,Sunderland,38,6511,Gavin Massey,4-2-3-1,Leigh Doughty,Match Report,
2021-09-25,15:00 (16:00),League One,Matchweek 9,Sat,Home,W,2,0,Cheltenham,54,8867,Tendayi Darikwa,4-2-3-1,Joshua Smith,Match Report,
2021-09-28,19:45 (20:45),League One,Matchweek 10,Tue,Home,L,1,2,Sheffield Weds,64,11884,Tendayi Darikwa,4-2-3-1,Samuel Barrott,Match Report,
2021-10-02,15:00 (16:00),League One,Matchweek 11,Sat,Away,W,2,0,Gillingham,67,4503,Tendayi Darikwa,4-2-3-1,Neil Hair,Match Report,
2021-10-16,15:00 (16:00),League One,Matchweek 13,Sat,Away,W,4,0,Bolton,40,20892,Tendayi Darikwa,4-2-3-1,Charles Breakspear,Match Report,
2021-10-19,19:45 (20:45),League One,Matchweek 14,Tue,Home,L,1,2,MK Dons,57,8351,Tendayi Darikwa,4-2-3-1,Darren Drysdale,Match Report,
2021-10-23,15:00 (16:00),League One,Matchweek 15,Sat,Away,W,2,0,AFC Wimbledon,57,7979,Tendayi Darikwa,4-2-3-1,Oliver Yates,Match Report,
2021-10-26,19:45 (20:45),League One,Matchweek 12,Tue,Home,L,1,2,Lincoln City,61,8707,Tendayi Darikwa,4-2-3-1,Seb Stockbridge,Match Report,
2021-10-30,15:00 (16:00),League One,Matchweek 16,Sat,Home,W,2,0,Burton Albion,72,9020,Tendayi Darikwa,3-5-2,Carl Brook,Match Report,
