Rk,Squad,MP,W,D,L,GF,GA,GD,Pts,Pts/MP,xG,xGA,xGD,xGD/90,Last 5,Attendance,Top Team Scorer,Goalkeeper,Notes
1,Napoli,15,13,2,0,37,12,+25,41,2.73,29.6,13.4,+16.2,+1.08,W W W W W,40616,Victor Osimhen - 9,Alex Meret,
2,Milan,15,10,3,2,29,15,+14,33,2.20,25.1,14.9,+10.2,+0.68,W L W D W,72656,Rafael Leão - 6,Ciprian Tătărușanu,
3,Juventus,15,9,4,2,24,7,+17,31,2.07,20.4,16.5,+3.9,+0.26,W W W W W,37724,Dušan Vlahović - 6,Wojciech Szczęsny,
4,Lazio,15,9,3,3,26,11,+15,30,2.00,18.4,17.3,+1.2,+0.08,W L W W L,42063,Ciro Immobile - 6,Ivan Provedel,
5,Inter,15,10,0,5,34,22,+12,30,2.00,27.6,14.7,+12.9,+0.86,W W L W W,72080,Lautaro Martínez - 7,Samir Handanović,
6,Atalanta,15,8,3,4,22,15,+7,27,1.80,24.2,15.6,+8.6,+0.58,L W L L L,18642,Ademola Lookman - 7,Juan Musso,
7,Roma,15,8,3,4,18,14,+4,27,1.80,26.8,10.6,+16.2,+1.08,L W L D D,61790,Paulo Dybala - 5,Rui Patrício,
8,Udinese,15,6,6,3,24,17,+7,24,1.60,19.2,18.1,+1.1,+0.07,L D D D L,21505,Beto - 6,Marco Silvestri,
9,Torino,15,6,3,6,16,17,-1,21,1.40,15.8,19.3,-3.4,-0.23,W W L W D,18747,Nikola Vlašić - 4,Vanja Milinković-Savić,
10,Fiorentina,15,5,4,6,18,20,-2,19,1.27,20.9,17.0,+3.9,+0.26,L W W W L,32874,Giacomo Bonaventura Luka Jović - 3,Pietro Terracciano,
11,Bologna,15,5,4,6,20,25,-5,19,1.27,16.9,20.6,-3.8,-0.25,W W W L W,20142,Marko Arnautović - 8,Łukasz Skorupski,
12,Salernitana,15,4,5,6,19,24,-5,17,1.13,16.3,27.0,-10.8,-0.72,W W D L L,18964,Boulaye Dia - 6,Luigi Sepe,
13,Empoli,15,4,5,6,12,19,-7,17,1.13,14.5,25.0,-10.5,-0.70,L L W L W,8706,Filippo Bandinelli Tommaso Baldanzi... - 2,Guglielmo Vicario,
14,Monza,15,5,1,9,16,22,-6,16,1.07,17.0,18.2,-1.1,-0.08,L L W L W,11640,Carlos - 3,Michele Di Gregorio,
15,Sassuolo,15,4,4,7,15,22,-7,16,1.07,18.2,19.1,-0.9,-0.06,W L L D L,13908,Davide Frattesi - 4,Andrea Consigli,
16,Lecce,15,3,6,6,14,17,-3,15,1.00,11.2,18.8,-7.5,-0.50,L L D W W,24378,Gabriel Strefezza - 4,Wladimiro Falcone,
17,Spezia,15,3,4,8,14,26,-12,13,0.87,14.0,24.3,-10.3,-0.69,L L L D W,8316,M'Bala Nzola - 7,Bartłomiej Drągowski,
18,Cremonese,15,0,7,8,11,26,-15,7,0.47,16.7,27.4,-10.7,-0.72,L D D D L,12621,David Okereke - 3,Ionuț Radu,
19,Sampdoria,15,1,3,11,6,27,-21,6,0.40,11.6,20.9,-9.4,-0.62,W L L L L,21152,Filip Đuričić - 2,Emil Audero,
20,Hellas Verona,15,1,2,12,12,29,-17,5,0.33,16.2,21.9,-5.7,-0.38,L L L L L,18992,Josh Doig Thomas Henry - 2,Lorenzo Montipò,
