Date,Time,Comp,Round,Day,Venue,Result,GF,GA,Opponent,Poss,Attendance,Captain,Formation,Referee,Match Report,Notes
2021-08-07,15:00 (16:00),League One,Matchweek 1,Sat,Home,W,2,1,Acc'ton Stanley,39,4551,Joe Jacobson,5-3-2,Charles Breakspear,Match Report,
2021-08-10,19:45 (20:45),EFL Cup,First round,Tue,Away,D,0 (4),0 (3),Exeter City,40,2555,Matt Bloomfield,3-4-3,David Rock,Match Report,Wycombe won on penalty kicks following normal time
2021-08-14,15:00 (16:00),League One,Matchweek 2,Sat,Away,W,3,1,Cheltenham,40,3860,Joe Jacobson,5-3-2,Carl Boyeson,Match Report,
2021-08-17,19:45 (20:45),League One,Matchweek 3,Tue,Away,D,1,1,Wigan Athletic,43,8671,Joe Jacobson,5-3-2,Anthony Backhouse,Match Report,
2021-08-21,15:00 (16:00),League One,Matchweek 4,Sat,Home,W,1,0,Lincoln City,39,5030,Joe Jacobson,5-3-2,James Bell,Match Report,
2021-08-24,19:45 (20:45),EFL Cup,Second round,Tue,Away,D,2 (5),2 (3),Stevenage,42,3292,Adebayo Akinfenwa,3-4-3,Declan Bourne,Match Report,Wycombe won on penalty kicks following normal time
2021-08-28,15:00 (16:00),League One,Matchweek 5,Sat,Away,L,1,3,Sunderland,49,29344,Joe Jacobson,3-4-3,John Busby,Match Report,
2021-09-11,15:00 (16:00),League One,Matchweek 7,Sat,Away,D,0,0,Oxford United,33,9082,Joe Jacobson,3-4-1-2,Chris Sarginson,Match Report,
2021-09-18,15:00 (16:00),League One,Matchweek 8,Sat,Home,W,2,1,Charlton Ath,41,5832,Joe Jacobson,4-1-3-2,Peter Wright,Match Report,
2021-09-21,19:45 (20:45),EFL Cup,Third round,Tue,Away,L,1,6,Manchester City,21,30959,Adebayo Akinfenwa,3-1-4-2,Robert Jones,Match Report,
2021-09-25,15:00 (16:00),League One,Matchweek 9,Sat,Away,L,0,1,MK Dons,21,9355,Joe Jacobson,4-1-3-2,Scott Oldham,Match Report,
2021-09-28,19:45 (20:45),League One,Matchweek 10,Tue,Away,W,2,1,Shrewsbury,47,4510,Joe Jacobson,5-3-2,Ross Joyce,Match Report,
2021-10-02,15:00 (16:00),League One,Matchweek 11,Sat,Home,W,4,3,Morecambe,53,4161,Joe Jacobson,4-1-3-2,Tom Reeves,Match Report,
2021-10-09,15:00 (16:00),League One,Matchweek 12,Sat,Home,W,2,0,Gillingham,50,4992,Joe Jacobson,4-1-3-2,Kevin Friend,Match Report,
2021-10-16,15:00 (16:00),League One,Matchweek 13,Sat,Away,W,2,0,Doncaster,35,6134,Adebayo Akinfenwa,3-4-1-2,Seb Stockbridge,Match Report,
2021-10-19,19:45 (20:45),League One,Matchweek 14,Tue,Away,D,0,0,Rotherham Utd,43,8104,Joe Jacobson,3-4-3,Robert Madley,Match Report,
2021-10-23,15:00 (16:00),League One,Matchweek 15,Sat,Home,W,2,1,Crewe Alexandra,47,4813,Joe Jacobson,3-4-1-2,Steve Martin,Match Report,
2021-10-30,15:00 (16:00),League One,Matchweek 16,Sat,Away,D,3,3,Fleetwood Town,38,2657,Adebayo Akinfenwa,4-4-2,Andrew Kitchen,Match Report,
2021-11-02,19:45 (20:45),League One,Matchweek 6,Tue,Home,L,1,4,Ipswich Town,41,6943,Joe Jacobson,3-4-3,Lee Swabey,Match Report,
2021-11-06,15:00 (16:00),FA Cup,First round proper,Sat,Away,D,2,2,Hartlepool Utd,42,4271,Joe Jacobson,3-4-3,Darren Drysdale,Match Report,
2021-11-13,15:00 (16:00),League One,Matchweek 17,Sat,Home,L,0,1,Portsmouth,56,6471,Joe Jacobson,3-4-3,Neil Hair,Match Report,
2021-11-16,19:45 (20:45),FA Cup,First round proper,Tue,Home,L,0,1,Hartlepool Utd,58,1582,Adebayo Akinfenwa,3-4-3,Chris Pollard,Match Report,
2021-11-20,15:00 (16:00),League One,Matchweek 18,Sat,Home,W,1,0,Bolton,43,5710,Jason McCarthy,3-4-1-2,James Oldham,Match Report,
2021-11-23,19:45 (20:45),League One,Matchweek 19,Tue,Away,W,3,0,Plymouth Argyle,34,12833,Joe Jacobson,3-4-1-2,Alan Young,Match Report,
2021-11-27,15:00 (16:00),League One,Matchweek 20,Sat,Away,D,2,2,Sheffield Weds,40,20761,Jason McCarthy,3-4-1-2,Darren Drysdale,Match Report,
2021-12-07,19:45 (20:45),League One,Matchweek 21,Tue,Home,W,2,1,Burton Albion,50,3602,Joe Jacobson,3-4-3,Joshua Smith,Match Report,
2021-12-11,15:00 (16:00),League One,Matchweek 22,Sat,Home,D,2,2,AFC Wimbledon,56,4915,Joe Jacobson,3-4-1-2,Will Finnie,Match Report,
2021-12-29,19:45 (20:45),League One,Matchweek 25,Wed,Away,L,0,1,Ipswich Town,41,26456,Joe Jacobson,3-1-4-2,Samuel Barrott,Match Report,
2022-01-01,15:00 (16:00),League One,Matchweek 26,Sat,Away,W,1,0,Charlton Ath,38,18895,Joe Jacobson,3-4-1-2,Paul Howard,Match Report,
2022-01-08,12:30 (13:30),League One,Matchweek 27,Sat,Home,D,3,3,Sunderland,44,7229,Joe Jacobson,3-4-1-2,Charles Breakspear,Match Report,
2022-01-11,20:00 (21:00),League One,Matchweek 23,Tue,Away,W,2,0,Bolton,43,12584,Joe Jacobson,3-4-1-2,Peter Wright,Match Report,
2022-01-15,15:00 (16:00),League One,Matchweek 28,Sat,Home,W,2,0,Oxford United,43,8005,Joe Jacobson,3-4-3,Anthony Backhouse,Match Report,
2022-01-22,15:00 (16:00),League One,Matchweek 29,Sat,Away,L,2,3,Morecambe,50,3865,Adebayo Akinfenwa,,Ben Toner,Match Report,
2022-01-29,15:00 (16:00),League One,Matchweek 30,Sat,Home,L,0,1,MK Dons,47,7345,Joe Jacobson,3-4-3,Rob Lewis,Match Report,
2022-02-08,19:45 (20:45),League One,Matchweek 32,Tue,Home,D,0,0,Shrewsbury,62,3871,Joe Jacobson,3-4-1-2,Sam Purkiss,Match Report,
2022-02-12,15:00 (16:00),League One,Matchweek 33,Sat,Away,D,1,1,Lincoln City,55,8319,Joe Jacobson,3-4-1-2,Oliver Yates,Match Report,
2022-02-19,15:00 (16:00),League One,Matchweek 34,Sat,Home,D,5,5,Cheltenham,48,5574,Joe Jacobson,3-4-1-2,Neil Hair,Match Report,
2022-02-22,19:45 (20:45),League One,Matchweek 35,Tue,Home,L,1,3,Wigan Athletic,32,4826,Sam Vokes,4-3-1-2,Thomas Bramall,Match Report,
2022-02-26,15:00 (16:00),League One,Matchweek 36,Sat,Away,L,2,3,Acc'ton Stanley,44,2242,Joe Jacobson,3-4-3,Robert Madley,Match Report,
2022-03-01,19:45 (20:45),League One,Matchweek 24,Tue,Home,W,3,0,Cambridge Utd,42,4083,Jason McCarthy,4-3-2-1,James Oldham,Match Report,
2022-03-05,15:00 (16:00),League One,Matchweek 37,Sat,Away,W,3,1,Crewe Alexandra,40,4031,Jason McCarthy,4-2-3-1,Andy Haines,Match Report,
2022-03-12,15:00 (16:00),League One,Matchweek 38,Sat,Home,D,0,0,Rotherham Utd,54,5742,Joe Jacobson,4-2-3-1,Craig Hicks,Match Report,
2022-03-15,19:45 (20:45),League One,Matchweek 40,Tue,Home,W,1,0,Fleetwood Town,55,3391,Joe Jacobson,4-2-3-1,Joshua Smith,Match Report,
2022-03-19,15:00 (16:00),League One,Matchweek 39,Sat,Away,D,0,0,Portsmouth,49,15092,Joe Jacobson,4-2-3-1,Ben Speedie,Match Report,
2022-04-02,15:00 (16:00),League One,Matchweek 41,Sat,Home,W,2,0,Doncaster,41,5943,Joe Jacobson,4-2-3-1,John Busby,Match Report,
2022-04-05,19:45 (20:45),League One,Matchweek 31,Tue,Away,W,4,1,Cambridge Utd,42,4751,Joe Jacobson,4-2-3-1,Will Finnie,Match Report,
2022-04-09,15:00 (16:00),League One,Matchweek 42,Sat,Away,D,1,1,Gillingham,54,4858,Joe Jacobson,4-2-3-1,Simon Mather,Match Report,
2022-04-15,15:00 (16:00),League One,Matchweek 43,Fri,Home,W,2,0,Plymouth Argyle,42,8181,Joe Jacobson,4-2-3-1,Darren Drysdale,Match Report,
2022-04-18,15:00 (16:00),League One,Matchweek 44,Mon,Away,D,1,1,AFC Wimbledon,58,8502,Jason McCarthy,4-2-3-1,Samuel Barrott,Match Report,
2022-04-23,15:00 (16:00),League One,Matchweek 45,Sat,Home,W,1,0,Sheffield Weds,47,9005,Joe Jacobson,4-2-3-1,Andrew Davies,Match Report,
2022-04-30,12:30 (13:30),League One,Matchweek 46,Sat,Away,W,2,1,Burton Albion,48,4440,Joe Jacobson,4-2-3-1,Robert Madley,Match Report,
2022-05-05,19:45 (20:45),League One,Semi-finals,Thu,Home,W,2,0,MK Dons,49,8987,Joe Jacobson,4-2-3-1,Darren Bond,Match Report,Leg 1 of 2
